 p V(out) V(in) 
 0.474 3.3 0.474 
 0.475 3.3 0.475 
 0.476 3.3 0.476 
 0.477 3.3 0.477 
 0.478 3.3 0.478 
 0.479 3.3 0.479 
 0.48 3.3 0.48 
 0.481 3.3 0.481 
 0.482 3.3 0.482 
 0.483 3.3 0.483 
 0.484 3.3 0.484 
 0.485 3.3 0.485 
 0.486 3.3 0.486 
 0.487 3.3 0.487 
 0.488 3.3 0.488 
 0.489 3.3 0.489 
 0.49 3.3 0.49 
 0.491 3.3 0.491 
 0.492 3.3 0.492 
 0.493 3.3 0.493 
 0.494 3.3 0.494 
 0.495 3.3 0.495 
 0.496 3.3 0.496 
 0.497 3.3 0.497 
 0.498 3.3 0.498 
 0.499 3.3 0.499 
 0.5 3.3 0.5 
 0.501 3.3 0.501 
 0.502 3.3 0.502 
 0.503 3.3 0.503 
 0.504 3.3 0.504 
 0.505 3.3 0.505 
 0.506 3.3 0.506 
 0.507 3.3 0.507 
 0.508 3.3 0.508 
 0.509 3.3 0.509 
 0.51 3.3 0.51 
 0.511 3.3 0.511 
 0.512 3.3 0.512 
 0.513 3.3 0.513 
 0.514 3.3 0.514 
 0.515 3.3 0.515 
 0.516 3.3 0.516 
 0.517 3.3 0.517 
 0.518 3.3 0.518 
 0.519 3.3 0.519 
 0.52 3.3 0.52 
 0.521 3.3 0.521 
 0.522 3.3 0.522 
 0.523 3.3 0.523 
 0.524 3.3 0.524 
 0.525 3.3 0.525 
 0.526 3.3 0.526 
 0.527 3.3 0.527 
 0.528 3.3 0.528 
 0.529 3.3 0.529 
 0.53 3.3 0.53 
 0.531 3.3 0.531 
 0.532 3.3 0.532 
 0.533 3.3 0.533 
 0.534 3.3 0.534 
 0.535 3.3 0.535 
 0.536 3.3 0.536 
 0.537 3.3 0.537 
 0.538 3.3 0.538 
 0.539 3.3 0.539 
 0.54 3.3 0.54 
 0.541 3.3 0.541 
 0.542 3.3 0.542 
 0.543 3.3 0.543 
 0.544 3.3 0.544 
 0.545 3.3 0.545 
 0.546 3.3 0.546 
 0.547 3.3 0.547 
 0.548 3.3 0.548 
 0.549 3.3 0.549 
 0.55 3.3 0.55 
 0.551 3.3 0.551 
 0.552 3.3 0.552 
 0.553 3.3 0.553 
 0.554 3.3 0.554 
 0.555 3.3 0.555 
 0.556 3.3 0.556 
 0.557 3.3 0.557 
 0.558 3.3 0.558 
 0.559 3.3 0.559 
 0.56 3.3 0.56 
 0.561 3.3 0.561 
 0.562 3.3 0.562 
 0.563 3.3 0.563 
 0.564 3.3 0.564 
 0.565 3.3 0.565 
 0.566 3.3 0.566 
 0.567 3.3 0.567 
 0.568 3.3 0.568 
 0.569 3.3 0.569 
 0.57 3.3 0.57 
 0.571 3.3 0.571 
 0.572 3.3 0.572 
 0.573 3.3 0.573 
 0.574 3.3 0.574 
 0.575 3.3 0.575 
 0.576 3.3 0.576 
 0.577 3.3 0.577 
 0.578 3.3 0.578 
 0.579 3.3 0.579 
 0.58 3.3 0.58 
 0.581 3.3 0.581 
 0.582 3.3 0.582 
 0.583 3.3 0.583 
 0.584 3.3 0.584 
 0.585 3.3 0.585 
 0.586 3.3 0.586 
 0.587 3.3 0.587 
 0.588 3.3 0.588 
 0.589 3.3 0.589 
 0.59 3.3 0.59 
 0.591 3.3 0.591 
 0.592 3.3 0.592 
 0.593 3.3 0.593 
 0.594 3.3 0.594 
 0.595 3.3 0.595 
 0.596 3.3 0.596 
 0.597 3.3 0.597 
 0.598 3.3 0.598 
 0.599 3.3 0.599 
 0.6 3.3 0.6 
 0.601 3.3 0.601 
 0.602 3.3 0.602 
 0.603 3.3 0.603 
 0.604 3.3 0.604 
 0.605 3.3 0.605 
 0.606 3.3 0.606 
 0.607 3.3 0.607 
 0.608 3.3 0.608 
 0.609 3.3 0.609 
 0.61 3.3 0.61 
 0.611 3.3 0.611 
 0.612 3.3 0.612 
 0.613 3.3 0.613 
 0.614 3.3 0.614 
 0.615 3.3 0.615 
 0.616 3.3 0.616 
 0.617 3.3 0.617 
 0.618 3.3 0.618 
 0.619 3.3 0.619 
 0.62 3.3 0.62 
 0.621 3.3 0.621 
 0.622 3.3 0.622 
 0.623 3.3 0.623 
 0.624 3.3 0.624 
 0.625 3.3 0.625 
 0.626 3.3 0.626 
 0.627 3.3 0.627 
 0.628 3.3 0.628 
 0.629 3.3 0.629 
 0.63 3.3 0.63 
 0.631 3.3 0.631 
 0.632 3.3 0.632 
 0.633 3.3 0.633 
 0.634 3.3 0.634 
